short_name,name,lat,lon
7230.10,W 74 St & Columbus Ave,40.7785669,-73.97754961
3984.02,Sterling Pl & New York Ave,40.67234,-73.94763
5805.05,Barrow St & Hudson St,40.73172428,-74.00674436
5755.15,Washington Pl & Greene St,40.72980619180496,-73.99546380915461
5806.01,53 Ave & 62 St,40.73169,-73.90159
3263.01,E 18 St & Church Ave,40.64958,-73.96316
6304.04,98 St & 41 Ave,40.74773,-73.86649
5340.01,N 7 St & Driggs Ave,40.716967,-73.956388
7735.23,E 128 St & Madison Ave,40.80756,-73.939182
2743.04,68 St & 4 Ave,40.63537,-74.02342
8356.02,E Tremont Ave & E 176 St,40.847798,-73.901883
8020.01,Home St & Westchester Ave,40.827629,-73.886659
4077.04,Smith St & 9 St,40.6746957,-73.99785768
8583.02,Sherman Ave & Thayer St,40.863124,-73.926994
3782.03,Carroll St & Utica Ave,40.66619,-73.93162
3007.05,Church Ave & Story St,40.642031,-73.981073
5146.03,Stanhope St & Fairview Ave,40.70998,-73.91116
4013.08,Columbia St & Lorraine St,40.6747055,-74.0075572
5170.01,Stagg St & Morgan Ave,40.710681,-73.93372
3246.06,New York Ave & Snyder Ave,40.64868,-73.94635
8582.10,Bainbridge Ave & E 193 St,40.86415477605928,-73.892452880543
8778.01,E Mosholu Pkwy & Van Cortlandt Ave E,40.87656,-73.88366
6322.01,E 33 St & 5 Ave,40.74765947,-73.98490707
4386.05,Fulton St & Clermont Ave,40.68415748,-73.96922273
6225.03,41 Ave & 67 St,40.74446,-73.89764
7821.01,Morris Ave & E 142 St,40.814469,-73.924963
8505.08,E 189 St & Bathgate Ave,40.85859,-73.88821
6227.02,31 St & Thomson Ave,40.74469738,-73.93540375
4792.03,Central Ave & Starr St,40.700003,-73.92834
8194.07,E 170 St & Sheridan Ave,40.838315,-73.912604
7883.09,Seneca Ave & Irvine St,40.81872569990116,-73.88862490653992
8819.05,Naples Terrace & Godwin Terrace,40.87995,-73.90536
5326.06,Stanton St & Mangin St,40.71782143,-73.97628939
8467.03,E 184 St & 3 Ave,40.85472,-73.89022
2335.08,Fort Hamilton Pkwy & 85 St,40.62095,-74.02388
5453.01,Rivington St & Chrystie St,40.72110063,-73.9919254
5406.02,Rivington St & Ridge St,40.71850211,-73.98329859
3240.15,Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673
3148.08,E 17 St & Beverley Rd,40.64466,-73.96322
3776.05,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013
5379.09,Berry St & N 8 St,40.7190095,-73.95852515
4880.11,Madison St & Seneca Ave,40.70183,-73.90625
8539.02,Sedgwick Ave & Hall of Fame Terrace,40.859532,-73.913303
8269.01,Goble Pl & Macombs Rd,40.844075,-73.917256
8277.03,Washington Ave & E 174 St,40.843079,-73.900216
5403.04,Graham Ave & Withers St,40.7169811,-73.94485918
6667.12,W 47 St & 6 Ave,40.758154,-73.981957
4072.02,Bergen St & Buffalo Ave,40.6747,-73.92512
6688.01,Crescent St & 35 Ave,40.7596276,-73.9321455
6913.03,24 Ave & 92 St,40.76589,-73.87789
8149.09,Ogden Ave & W 165 St,40.834457,-73.928381
5688.02,64 St & 53 Dr,40.72897,-73.90115
8496.01,Fort Washington Ave & W 190 St,40.856906,-73.935662
8061.01,Jerome Ave & Anderson Ave,40.830179,-73.928747
4237.01,Lewis Ave & Decatur St,40.6814598,-73.934903
6887.03,35 St & 30 Ave,40.76547569244953,-73.91811579465866
6711.13,Steinway St & Broadway,40.75905795418586,-73.91897544264793
4395.07,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
5579.02,56 Dr & 59 St,40.72403,-73.90853
6218.04,39 St & Queens Blvd,40.74431,-73.92601
7741.04,Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358
5545.04,E 5 St & Ave C,40.72299208,-73.97995466
6502.01,55 St & Northern Blvd,40.75326,-73.90585
7293.10,E 88 St & Park Ave,40.781410700190015,-73.95595908164978
4920.13,South St & Broad St,40.70188858913366,-74.01089876890182
7777.02,E 144 St & Brook Ave,40.811675,-73.917037
3987.06,5 Ave & 3 St,40.6728155,-73.98352355
6025.08,39 St & 50 Ave,40.73824937345944,-73.92737478017807
8472.06,Valentine Ave & E 183 St,40.856987,-73.898237
5053.01,Lee Ave & Taylor St,40.706732,-73.961241
8021.11,Grand Concourse & E 161 St,40.82713380423556,-73.9227358996868
5611.04,61 St & Borden Ave,40.72558,-73.90417
4665.02,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
3408.05,Ocean Ave & Crooke Ave,40.65326,-73.96172
6215.04,W 25 St & 6 Ave,40.74395411,-73.99144871
6514.08,Vernon Blvd & 41 Rd,40.7552433,-73.9485678
5626.07,E 7 St & Ave A,40.72621788,-73.98379855
3056.07,37 St & 13 Ave,40.64166,-73.98505
6053.01,Corona Ave & 111 St,40.7408,-73.84978
7966.02,E 165 St & Fox St,40.82394,-73.894025
8210.01,W 163 St & Riverside Dr,40.839278,-73.945446
5613.04,Kingsland Ave & Nassau Ave,40.72577,-73.94173
7740.08,Brook Ave & E 141 St,40.809619,-73.917875
4680.05,Bushwick Ave & Dekalb Ave,40.69502,-73.92825
3070.04,E 16 St & Cortelyou Rd,40.64173,-73.96364
3211.06,53 St & 2 Ave,40.64744,-74.018846
7667.04,Madison Ave & E 120 St,40.80295,-73.942954
7528.31,E 106 St & Madison Ave,40.7934337,-73.94945003
5351.07,Walker St & Baxter St,40.717411,-73.999573
8511.08,Broadway & W 192 St,40.857994,-73.932173
8741.01,Bailey Ave & W 229 St,40.87449,-73.90467
4947.04,Central Ave & Flushing Ave,40.702831,-73.9333
5923.02,51 Ave & 61 St,40.73568,-73.90387
6682.03,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
7879.01,Melrose Ave & E 150 St,40.816827,-73.917338
8285.09,E 174 St & Walton Ave,40.844811,-73.912042
8319.01,Anthony Ave & E 175 St,40.846465,-73.903869
7738.04,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928
6747.07,8 Ave & W 49 St,40.76171227910671,-73.98655101656914
5883.08,Review Ave & Greenpoint Ave,40.734246796135544,-73.93776814411713
3648.08,Kingston Ave & E New York Ave,40.66219,-73.94293
2708.07,73 St & Ridge Blvd,40.63349,-74.02976
6382.05,W 26 St & 10 Ave,40.749717753,-74.002950346
5181.04,Cherry St,40.71219906,-73.97948148
4095.10,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608
7727.07,Amsterdam Ave & W 119 St,40.8086249,-73.9596214
8738.01,Goulden Ave & Bedford Park Blvd,40.87387,-73.89533
8172.07,Amsterdam Ave & W 162 St,40.83618,-73.939789
6191.04,62 St & 43 Ave,40.74261,-73.903
5794.05,India St Pier,40.731734785883454,-73.9612390102593
5167.06,St James Pl & Pearl St,40.71117416,-74.00016545
5388.01,Kent Ave & Grand St,40.716425,-73.96594
3680.04,E New York Ave & Troy Ave,40.66227,-73.93762
8643.01,Bailey Ave & Sedgwick Ave,40.86571,-73.90857
8703.05,Grand Concourse & E 199 St,40.87142,-73.88839
5623.03,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
7867.04,Southern Blvd & Tiffany St,40.818185,-73.894143
4743.04,Linden St & Knickerbocker Ave,40.69714,-73.91566
2387.07,86 St & Ridge Blvd,40.62402,-74.03396
4519.02,Greene Ave & Nostrand Ave,40.6883337,-73.950916
8103.05,3 Ave & E 169 St,40.832678,-73.905158
7504.18,E 106 St & Lexington Ave,40.791976,-73.945993
6138.02,Martense Ave & 108 St,40.74214,-73.85418
8344.04,Macombs Rd & W 175 St,40.848177,-73.916082
4968.03,Bridge St & Front St,40.702969341552716,-73.98469090461731
3050.03,55 St & 5 Ave,40.642408,-74.013318
3460.01,2 Ave & 36 St,40.65708866668485,-74.00870203971863
3034.02,Matthews Ct & Coney Island Ave,40.64235,-73.96951
5288.09,Warren St & W Broadway,40.71473993,-74.00910627
5656.03,N Henry St & Norman Ave,40.7277,-73.94395
8547.04,Broadway & Ellwood St,40.862058,-73.929719
4175.15,Union St & 4 Ave,40.6772744,-73.98282002
7571.01,Sunken Meadow Comfort Station,40.79558,-73.91906
6611.02,W 37 St & 10 Ave,40.75660359,-73.9979009
4214.04,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208
6896.16,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
6055.08,E 20 St & Park Ave,40.73827428,-73.98751968
8528.05,Nagle Ave & Ellwood St,40.86012,-73.928489
6981.16,37 St & 24 Ave,40.7701477,-73.9120938
8293.12,Arthur Ave & E Tremont Ave,40.84616,-73.89322
2009.04,Shore Rd & 4 Ave,40.6115,-74.03513
5445.07,Stanton St & Norfolk St,40.720747,-73.986274
5788.15,4 Ave & E 12 St,40.732647,-73.99011
7502.01,W 92 St & Broadway,40.7921,-73.9739
6134.13,44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588
6766.03,Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534
4546.05,Washington Park,40.6917823,-73.9737299
3373.01,E 51 St & Linden Blvd,40.65399,-73.92967
4179.03,Fulton St & Saratoga Ave,40.67853,-73.91642
7023.04,W 59 St & 10 Ave,40.770513,-73.988038
7458.09,W 90 St & Amsterdam Ave,40.79018,-73.97289
3865.05,3 St & Prospect Park West,40.668132,-73.97363831
4474.01,Halsey St & Evergreen Ave,40.68858,-73.91227
6920.05,W 54 St & 9 Ave,40.76604,-73.98737
4019.06,Carroll St & 6 Ave,40.6740886,-73.9787282
7913.15,Cauldwell Ave & E 158 St,40.81989,-73.908351
6433.01,92 St & 37 Ave,40.75085,-73.87509
4054.06,Dwight St & Dikeman St,40.67487503856169,-74.01048018571481
4148.07,Pacific St & Classon Ave,40.6791944,-73.9587903
4936.01,Front St & Washington St,40.70255088,-73.98940236
5772.05,Morton St & Greenwich St,40.731135726910246,-74.00815155572697
8245.03,Mount Eden Pkwy & Eastburn Ave,40.842675,-73.908544
7323.09,5 Ave & E 87 St,40.78232260730881,-73.95987510681152
4528.03,Lafayette Ave & Franklin Ave,40.689271,-73.957324
6701.05,Jackson Mill Rd & 93 St,40.75874,-73.87535
4214.03,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
8176.01,W 160 St & Riverside Dr,40.83719,-73.9466
5225.02,Flushing Ave & Woodward Ave,40.71246,-73.91873
4775.01,Irving Ave & Palmetto St,40.698,-73.9127
5540.06,56 Dr & 61 St,40.72368,-73.90458
2832.03,4 Ave & Shore Road Dr,40.637033,-74.022141
5068.02,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
3593.01,Maple St & Flatbush Ave,40.66026,-73.96045
6779.05,Broadway & W 53 St,40.76344058,-73.98268129
5944.01,Franklin St & Dupont St,40.73564,-73.95866
8752.01,Bedford Park Blvd & Paul Ave,40.87444,-73.89186
2312.02,Colonial Rd & 89 St,40.62254,-74.03726
6240.05,Elmhurst Ave & Forley St,40.74615,-73.87763
4715.01,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
4507.07,Wilson Ave & Moffat St,40.68906,-73.90506
4110.10,3 St & Hoyt St,40.6777287,-73.99364123
4330.09,Hoyt St & Warren St,40.6843549,-73.98901629
6660.07,96 St & Northern Blvd,40.75712,-73.8722
4023.01,St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387
5282.02,Devoe St & Morgan Ave,40.713811,-73.93515
2472.02,Shore Rd & 86 St,40.62561,-74.04079
8049.10,Convent Ave & W 151 St,40.82831,-73.942924
6464.08,E 45 St & 3 Ave,40.75255434,-73.97282625
4963.13,Menahan St & Seneca Ave,40.70461,-73.91054
