month,is_weekend,hour_bucket,is_ebike,is_member,sampled_rows,pct_of_sample
7,true,midday,false,true,9040,0.2055
7,true,midday,true,false,8283,0.1883
7,true,midday,true,true,19917,0.4527
7,true,morning,false,false,1113,0.0253
7,true,morning,false,true,4263,0.0969
7,true,morning,true,false,2657,0.0604
7,true,morning,true,true,8365,0.1901
7,true,night,false,false,774,0.0176
7,true,night,false,true,1470,0.0334
7,true,night,true,false,2556,0.0581
7,true,night,true,true,4921,0.1118
8,false,evening,false,false,7336,0.1667
8,false,evening,false,true,38499,0.875
8,false,evening,true,false,23596,0.5363
8,false,evening,true,true,90429,2.0552
8,false,midday,false,false,4345,0.0988
8,false,midday,false,true,19976,0.454
8,false,midday,true,false,12522,0.2846
8,false,midday,true,true,44488,1.0111
8,false,morning,false,false,2416,0.0549
8,false,morning,false,true,22499,0.5113
8,false,morning,true,false,7194,0.1635
8,false,morning,true,true,45505,1.0342
8,false,night,false,false,542,0.0123
8,false,night,false,true,2112,0.048
8,false,night,true,false,2406,0.0547
8,false,night,true,true,6568,0.1493
8,true,evening,false,false,5442,0.1237
8,true,evening,false,true,13298,0.3022
8,true,evening,true,false,14326,0.3256
8,true,evening,true,true,33574,0.7631
8,true,midday,false,false,7405,0.1683
8,true,midday,false,true,13056,0.2967
8,true,midday,true,false,12700,0.2886
8,true,midday,true,true,27110,0.6161
8,true,morning,false,false,2399,0.0545
8,true,morning,false,true,5978,0.1359
8,true,morning,true,false,4024,0.0915
8,true,morning,true,true,11568,0.2629
8,true,night,false,false,785,0.0178
8,true,night,false,true,1665,0.0378
8,true,night,true,false,2836,0.0645
8,true,night,true,true,5867,0.1333
9,false,evening,false,false,7424,0.1687
9,false,evening,false,true,46458,1.0559
9,false,evening,true,false,24379,0.5541
9,false,evening,true,true,105675,2.4017
9,false,midday,false,false,4643,0.1055
9,false,midday,false,true,23619,0.5368
9,false,midday,true,false,13404,0.3046
9,false,midday,true,true,50617,1.1504
9,false,morning,false,false,2772,0.063
9,false,morning,false,true,27648,0.6284
9,false,morning,true,false,8305,0.1888
9,false,morning,true,true,54801,1.2455
9,false,night,false,false,534,0.0121
9,false,night,false,true,2373,0.0539
9,false,night,true,false,2276,0.0517
9,false,night,true,true,6607,0.1502
9,true,evening,false,false,3242,0.0737
9,true,evening,false,true,11181,0.2541
9,true,evening,true,false,9914,0.2253
9,true,evening,true,true,28207,0.6411
9,true,midday,false,false,3538,0.0804
9,true,midday,false,true,10998,0.25
9,true,midday,true,false,8780,0.1995
9,true,midday,true,true,23896,0.5431
9,true,morning,false,false,1106,0.0251
9,true,morning,false,true,4655,0.1058
9,true,morning,true,false,2783,0.0633
9,true,morning,true,true,9740,0.2214
9,true,night,false,false,615,0.014
9,true,night,false,true,1502,0.0341
9,true,night,true,false,2039,0.0463
9,true,night,true,true,4889,0.1111
10,false,evening,false,false,5433,0.1235
10,false,evening,false,true,42318,0.9618
10,false,evening,true,false,19491,0.443
10,false,evening,true,true,98703,2.2433
10,false,midday,false,false,3720,0.0845
10,false,midday,false,true,22590,0.5134
10,false,midday,true,false,11067,0.2515
10,false,midday,true,true,48492,1.1021
10,false,morning,false,false,2053,0.0467
10,false,morning,false,true,25114,0.5708
10,false,morning,true,false,6886,0.1565
10,false,morning,true,true,52178,1.1859
10,false,night,false,false,369,0.0084
10,false,night,false,true,2128,0.0484
10,false,night,true,false,1687,0.0383
10,false,night,true,true,5963,0.1355
10,true,evening,false,false,2482,0.0564
10,true,evening,false,true,9445,0.2147
10,true,evening,true,false,7987,0.1815
10,true,evening,true,true,24920,0.5664
10,true,midday,false,false,3101,0.0705
10,true,midday,false,true,9963,0.2264
10,true,midday,true,false,7709,0.1752
10,true,midday,true,true,22097,0.5022
10,true,morning,false,false,910,0.0207
10,true,morning,false,true,4360,0.0991
10,true,morning,true,false,2463,0.056
10,true,morning,true,true,9314,0.2117
10,true,night,false,false,503,0.0114
10,true,night,false,true,1358,0.0309
10,true,night,true,false,1794,0.0408
10,true,night,true,true,4737,0.1077
11,false,evening,false,false,2125,0.0483
11,false,evening,false,true,24510,0.5571
11,false,evening,true,false,9826,0.2233
11,false,evening,true,true,62624,1.4233
11,false,midday,false,false,1881,0.0428
11,false,midday,false,true,15822,0.3596
11,false,midday,true,false,6994,0.159
11,false,midday,true,true,35573,0.8085
11,false,morning,false,false,1132,0.0257
11,false,morning,false,true,17283,0.3928
11,false,morning,true,false,4522,0.1028
11,false,morning,true,true,38584,0.8769
11,false,night,false,false,202,0.0046
11,false,night,false,true,1436,0.0326
11,false,night,true,false,1099,0.025
11,false,night,true,true,4572,0.1039
11,true,evening,false,false,1520,0.0345
11,true,evening,false,true,8560,0.1945
11,true,evening,true,false,5740,0.1305
11,true,evening,true,true,22952,0.5216
11,true,midday,false,false,2313,0.0526
11,true,midday,false,true,9898,0.225
11,true,midday,true,false,6707,0.1524
11,true,midday,true,true,22103,0.5023
11,true,morning,false,false,716,0.0163
11,true,morning,false,true,4306,0.0979
11,true,morning,true,false,2262,0.0514
11,true,morning,true,true,9541,0.2168
11,true,night,false,false,407,0.0093
11,true,night,false,true,1232,0.028
11,true,night,true,false,1711,0.0389
11,true,night,true,true,4740,0.1077
12,false,evening,false,false,1017,0.0231
12,false,evening,false,true,16891,0.3839
12,false,evening,true,false,5467,0.1243
12,false,evening,true,true,45124,1.0256
12,false,midday,false,false,937,0.0213
12,false,midday,false,true,11757,0.2672
12,false,midday,true,false,3953,0.0898
12,false,midday,true,true,27041,0.6146
12,false,morning,false,false,483,0.011
12,false,morning,false,true,11576,0.2631
12,false,morning,true,false,2462,0.056
12,false,morning,true,true,27290,0.6202
12,false,night,false,false,115,0.0026
12,false,night,false,true,1116,0.0254
12,false,night,true,false,712,0.0162
12,false,night,true,true,3938,0.0895
12,true,evening,false,false,402,0.0091
12,true,evening,false,true,3794,0.0862
12,true,evening,true,false,1847,0.042
12,true,evening,true,true,10512,0.2389
12,true,midday,false,false,559,0.0127
12,true,midday,false,true,4464,0.1015
12,true,midday,true,false,1908,0.0434
12,true,midday,true,true,10253,0.233
12,true,morning,false,false,164,0.0037
12,true,morning,false,true,1797,0.0408
12,true,morning,true,false,667,0.0152
12,true,morning,true,true,4194,0.0953
12,true,night,false,false,94,0.0021
12,true,night,false,true,496,0.0113
12,true,night,true,false,453,0.0103
12,true,night,true,true,1903,0.0433
