log_duration,rideable_type,is_member,is_ebike,started_at,hour,is_weekend,is_rush_hour,month,is_holiday,origin_h3_r9,origin_h3_r8,origin_h3_r7,dest_h3_r9,dest_h3_r8,dest_h3_r7,od_pair_r9,od_pair_r8,od_encoded,euclidean_dist_m,manhattan_dist_m,dist_ratio,actual_temp,apparent_temp,precipitation_mm,is_raining,windspeed,snowfall,snow_depth,precip_last_3h,mins_since_rain
7.423510532134531,electric_bike,True,True,2026-01-06 17:33:23.824,17,False,True,1,False,892a1072537ffff,882a107253fffff,872a10725ffffff,892a100d4dbffff,882a100d4dfffff,872a100d4ffffff,892a1072537ffff_892a100d4dbffff,882a107253fffff_882a100d4dfffff,991751.0,4752.515567398776,6418.973475209103,0.7403856061648485,2.766666666666667,-0.1999999999999999,0.0,False,6.033333333333334,0.0,0.0066666666666666,0.3999999999999999,580.0
5.589418587045473,classic_bike,True,False,2026-01-03 12:21:23.918,12,True,False,1,False,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a100d23bffff,882a100d21fffff,872a100d2ffffff,892a100d247ffff_892a100d23bffff,882a100d25fffff_882a100d21fffff,391865.0,679.0041538700444,944.3946091591628,0.7189835131255063,-2.5,-7.333333333333333,0.0,False,8.933333333333334,0.0,0.01,0.0,3120.0
6.300539892872243,electric_bike,True,True,2026-01-13 17:00:33.247,17,False,True,1,False,892a100d647ffff,882a100d65fffff,872a100d6ffffff,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a100d647ffff_892a100d247ffff,882a100d65fffff_882a100d25fffff,194405.0,2478.0251736610658,3450.223231705184,0.7182216938572886,5.433333333333334,1.2666666666666666,0.0,False,12.566666666666668,0.0,0.0,0.0,3800.0
6.18849818193098,electric_bike,True,True,2026-01-14 10:39:12.077,10,False,False,1,False,892a100ae1bffff,882a100ae1fffff,872a100aeffffff,892a100aa8bffff,882a100aa9fffff,872a100aaffffff,892a100ae1bffff_892a100aa8bffff,882a100ae1fffff_882a100aa9fffff,450286.0,1959.450204493547,2613.6734907592354,0.7496920374412774,5.5,1.9666666666666668,0.0,False,9.366666666666664,0.0,0.0,0.0,4820.0
5.948992754919658,electric_bike,True,True,2026-01-05 11:47:23.652,11,False,False,1,False,892a1072187ffff,882a107219fffff,872a10721ffffff,892a100d23bffff,882a100d21fffff,872a100d2ffffff,892a1072187ffff_892a100d23bffff,882a107219fffff_882a100d21fffff,222706.0,1720.9782723155422,2190.084989191748,0.7858043321646025,-2.3000000000000003,-5.8,0.0666666666666666,False,3.4333333333333336,0.0466666666666666,0.01,0.3999999999999999,2020.0
6.309489095231578,classic_bike,True,False,2026-01-06 15:07:12.206,15,False,False,1,False,892a100d247ffff,882a100d25fffff,872a100d2ffffff,892a100d2c3ffff,882a100d2dfffff,872a100d2ffffff,892a100d247ffff_892a100d2c3ffff,882a100d25fffff_882a100d2dfffff,619413.0,939.3192443845222,1286.543853062772,0.7301105532845693,3.5,0.3999999999999999,0.0,False,5.466666666666666,0.0,0.0066666666666666,0.0,1660.0
5.79047685696388,classic_bike,True,False,2026-01-12 14:38:36.507,14,False,False,1,False,892a10088bbffff,882a10088bfffff,872a10088ffffff,892a10089dbffff,882a10089dfffff,872a10088ffffff,892a10088bbffff_892a10089dbffff,882a10088bfffff_882a10089dfffff,607526.0,958.766885011652,1008.0043675844356,0.951153502746446,3.9333333333333336,-1.0,0.0,False,13.666666666666666,0.0,0.0,0.0,2180.0
6.003630244006853,classic_bike,True,False,2026-01-13 16:55:19.629,16,False,False,1,False,892a1072813ffff,882a107281fffff,872a10728ffffff,892a107289bffff,882a107289fffff,872a10728ffffff,892a1072813ffff_892a107289bffff,882a107281fffff_882a107289fffff,562328.0,735.0934189068017,929.2048159589872,0.7910994500691944,7.0,2.9333333333333336,0.0,False,10.966666666666669,0.0,0.0,0.0,3740.0
5.857555940490063,classic_bike,True,False,2026-01-06 18:14:41.431,18,False,True,1,False,892a1008c3bffff,882a1008c3fffff,872a1008cffffff,892a1008c37ffff,882a1008c3fffff,872a1008cffffff,892a1008c3bffff_892a1008c37ffff,882a1008c3fffff_882a1008c3fffff,354765.0,729.7668526360366,941.38294373526,0.7752072177348317,1.2666666666666666,-1.9666666666666668,0.0,False,6.966666666666666,0.0,0.0066666666666666,0.3999999999999999,640.0
6.854641380932622,electric_bike,True,True,2026-01-06 15:51:53.367,15,False,False,1,False,892a100da33ffff,882a100da3fffff,872a100daffffff,892a107746bffff,882a107747fffff,872a10774ffffff,892a100da33ffff_892a107746bffff,882a100da3fffff_882a107747fffff,363366.0,3389.506295731867,4789.087300419569,0.7077562138896307,3.5,0.3999999999999999,0.0,False,5.466666666666666,0.0,0.0066666666666666,0.0,1660.0
